LABEL analytical,relative period,absolute period,cultural attribution,Site,Sample label,Geo Latitude,Geo Longitude,Type of site/context,Region,Artefact type,Axe type,Category,Base,As (ppm),Sb (ppm),Co (ppm),Ni (ppm),Ag (ppm),Au (ppm),Se (ppm),As (ppm),Sb (ppm),Co (ppm),Ni (ppm),Ag (ppm),Au (ppm),Se (ppm),Chemical cluster,
HDM 2027,MC,4600-4450 BC,Varna II,Durankulak,HDM 2027,"43Â°41'13.71""N","28Â°31'51.97""E",cemetery,BSC,Finger ring,unk,metal ornament,copper,6300,1310,1,25,860,9.8,279,3.4305074,1.4926688,-0.5709468,0.5191375,0.1409614,0.2541296,0.305383,9,2
HDM 2028,MC,4600-4450 BC,Varna I,Durankulak,HDM 2028,"43Â°41'13.71""N","28Â°31'51.97""E",cemetery,BSC,Finger ring,unk,metal ornament,copper,9.2,1.89,10.3,174,158,39,63,0.5792482,-1.0091364,1.0502762,-0.6315426,-0.4741875,0.2849926,-0.3615615,4,2
HDM 2029,MC,4600-4450 BC,Varna I,Durankulak,HDM 2029,"43Â°41'13.71""N","28Â°31'51.97""E",cemetery,BSC,Finger ring,unk,metal ornament,copper,1100,320,3.5,95,1980,15.4,33,2.6637706,0.9204595,-0.1365419,-0.2233508,-0.1207885,-0.6817216,0.201012,9,2
HDM 2031,MC,4600-4450 BC,Varna I,Durankulak,HDM 2031,"43Â°41'13.71""N","28Â°31'51.97""E",cemetery,BSC,Finger ring,unk,metal ornament,copper,22.6,1.21,5,105,205,55,26.8,0.6358166,-0.8578738,0.6465895,-0.8286256,-0.9587874,0.2915989,-0.1456888,4,2
HDM 2032,MC,4600-4450 BC,Varna II,Durankulak,HDM 2032,"43Â°41'13.71""N","28Â°31'51.97""E",cemetery,BSC,borer,unk,metal implement,copper,2,5.5,1.5,294,630,7.9,80,0.6244391,-1.552648,0.2041421,0.0449708,0.0533738,-0.328266,-0.7268836,4,2
HDM 2034,MC,4600-4450 BC,Varna II,Durankulak,HDM 2034,"43Â°41'13.71""N","28Â°31'51.97""E",cemetery,BSC,pin,unk,metal ornament,copper,0.7,1.61,2,40,225,4.6,227,0.0601931,-1.9915995,0.3971791,0.4831805,0.144971,0.4714175,-0.1518732,4,2
HDM 2035,MC,4600-4450 BC,Varna II,Durankulak,HDM 2035,"43Â°41'13.71""N","28Â°31'51.97""E",cemetery,BSC,spiral ring,unk,metal ornament,copper,2,27.2,1,22,330,8.7,61,0.8096326,-1.3605436,-0.3623254,-0.0512311,0.6751784,0.1775419,0.1848724,4,2
HDM 2036,MC,4600-4450 BC,Varna I,Durankulak,HDM 2036,"43Â°41'13.71""N","28Â°31'51.97""E",cemetery,BSC,spiral ring,unk,metal ornament,copper,9.9,9.3,13,132,215,100,72,1.1879839,-0.9457609,1.0388785,-0.9360052,-0.0288131,0.2549844,-0.199232,4,2
HDM 2137,MC,4600-4450 BC,Varna I,Durankulak,HDM 2137,"43Â°41'13.71""N","28Â°31'51.97""E",cemetery,BSC,Finger ring,unk,metal ornament,copper,11.5,0.65,17.9,132,145,20.5,58,0.2068078,-0.9362806,1.2795098,-0.4126789,-0.7864847,0.2923777,-0.1747145,4,2
HDM 2138,MC,4600-4450 BC,Varna I,Durankulak,HDM 2138,"43Â°41'13.71""N","28Â°31'51.97""E",cemetery,BSC,Finger ring,unk,metal ornament,copper,69,2.13,9.9,99,170,8.7,18,0.4109027,-0.0455814,0.663779,-0.3695823,-0.8323241,-0.0082905,0.0399108,6,2
HDM 1920,MC,4600-4450 BC,KGK VI?,Tell Ruse,HDM 1920,"43Â°50'8.06""N","25Â°57'56.36""E",settlement,NE,axe,Kamenar,metal implement,copper,4.8,1.09,11.6,230,79,12.9,30,-0.1518566,-0.9451069,1.0073853,-0.5535977,-0.3899984,0.1584954,-0.4615687,4,2
HDM 1921,MC,4600-4450 BC,KGK VI?,Tell Ruse,HDM 1921,"43Â°50'8.06""N","25Â°57'56.36""E",settlement,NE,flat axe,Kamenar,metal implement,copper,246,1210,1.5,19,690,14.2,430,2.9720231,0.3834003,-0.3065187,0.367948,0.8891075,0.336961,0.3239,9,2
HDM 1922,MC,4600-4450 BC,KGK VI?,Tell Ruse,HDM 1922,"43Â°50'8.06""N","25Â°57'56.36""E",settlement,NE,chisel,unk,metal implement,copper,4.5,1.12,19.9,93,141,20.2,14.6,-0.1053203,-1.0289603,1.0347933,-0.8164116,-0.4423224,-0.0092303,0.0858552,4,2
HDM 1923,MC,4600-4450 BC,KGK VI,Tell Ruse,HDM 1923,"43Â°50'8.06""N","25Â°57'56.36""E",settlement,NE,axe,Gumelnica,metal implement,copper,2,169,1,32,620,5.1,106,1.3006438,-1.185635,-0.4538037,0.2285589,1.2765371,-0.1531971,0.0714053,4,2
HDM 2039,MC,4600-4450 BC,KGK VI?,Tell Ruse,HDM 2039,"43Â°50'8.06""N","25Â°57'56.36""E",settlement,NE,borer,unk,metal implement,copper,3500,870,3.5,58,5800,0.96,14.2,2.5440491,1.6924264,-0.6037838,0.5783522,0.0096251,-1.4610909,0.643916,9,2
HDM 2040,MC,4600-4450 BC,KGK VI?,Tell Ruse,HDM 2040,"43Â°50'8.06""N","25Â°57'56.36""E",settlement,NE,borer,unk,metal implement,copper,1,2.68,2.5,22,300,4.6,282,0.310825,-1.8780793,0.4047018,0.5752153,0.2440813,0.4875976,0.130878,4,2
HDM 2043,MC,4600-4450 BC,KGK VI?,Tell Ruse,HDM 2043,"43Â°50'8.06""N","25Â°57'56.36""E",settlement,NE,borer,unk,metal implement,copper,2,14.3,3,143,520,0.36,117,0.1787464,-0.9971402,0.1837896,1.0786859,0.7047226,-0.5867662,-0.370707,4,2
HDM 2044,MC,4600-4450 BC,KGK VI?,Tell Ruse,HDM 2044,"43Â°50'8.06""N","25Â°57'56.36""E",settlement,NE,borer,unk,metal implement,copper,4,750,1.5,25,340,13.8,113,1.7985781,-0.7711175,-0.3880829,-0.1822704,1.6556101,0.0934787,0.1728219,4,2
HDM 2045,MC,4600-4450 BC,KGK VI?,Tell Ruse,HDM 2045,"43Â°50'8.06""N","25Â°57'56.36""E",settlement,NE,borer,unk,metal implement,copper,330,450,2.5,18,670,26.3,104,2.655023,0.4586424,-0.2097853,-0.1700247,0.4159139,0.1764245,0.5424686,9,2
HDM 2047,MC,4600-4450 BC,KGK VI?,Tell Ruse,HDM 2047,"43Â°50'8.06""N","25Â°57'56.36""E",settlement,NE,double spiral headed pin,unk,metal ornament,copper,4,6.8,1.5,154,2600,14.5,87,1.2085782,-1.6360471,0.146144,0.0552639,-0.2151771,-0.5397737,-0.3276782,4,2
HDM 2050,MC,4600-4450 BC,KGK VI?,Tell Ruse,HDM 2050,"43Â°50'8.06""N","25Â°57'56.36""E",settlement,NE,borer,unk,metal implement,copper,32,87,5.5,117,126,0.97,42,0.7098328,0.4048948,0.122195,0.3576599,0.7791754,-0.2805705,-0.1882542,9,2
HDM 2051,MC,4600-4450 BC,KGK VI?,Tell Ruse,HDM 2051,"43Â°50'8.06""N","25Â°57'56.36""E",settlement,NE,borer,unk,metal implement,copper,8600,197,2,214,2840,15.9,18.8,2.9056284,1.5101351,-0.3419121,-0.2583294,-0.8692245,-0.8673684,-0.0552923,9,2
HDM 2052,MC,4600-4450 BC,KGK VI?,Tell Ruse,HDM 2052,"43Â°50'8.06""N","25Â°57'56.36""E",settlement,NE,borer,unk,metal implement,copper,9400,236,3.5,271,2560,14.4,19.6,2.897797,1.6483172,-0.1237362,-0.2679327,-0.7741954,-0.9384334,-0.0779493,9,2
HDM 2053,MC,4600-4450 BC,KGK VI?,Tell Ruse,HDM 2053,"43Â°50'8.06""N","25Â°57'56.36""E",settlement,NE,chisel,unk,metal implement,copper,117,440,2.5,17,430,9.6,490,2.4669594,0.1562842,-0.0182443,0.4797528,0.8398432,0.4684289,0.356323,9,2
HDM 2054,MC,4600-4450 BC,KGK VI?,Tell Ruse,HDM 2054,"43Â°50'8.06""N","25Â°57'56.36""E",settlement,NE,borer,unk,metal implement,copper,5,3.1,1.5,81,600,17.8,59,0.7613032,-1.4486481,0.1319025,-0.1825486,-0.3831834,0.015456,-0.1968422,4,2
HDM 2055,MC,4600-4450 BC,KGK VI?,Tell Ruse,HDM 2055,"43Â°50'8.06""N","25Â°57'56.36""E",settlement,NE,borer,unk,metal implement,copper,12,860,1.5,510,13100,16.2,8.2,2.2907671,-0.603113,-0.5836473,-0.6635679,0.8368161,-1.978485,-0.3370737,9,2
HDM 2056,MC,4600-4450 BC,KGK VI?,Tell Ruse,HDM 2056,"43Â°50'8.06""N","25Â°57'56.36""E",settlement,NE,borer,unk,metal implement,copper,12.7,1.75,5.9,105,25,0.34,38,-0.8049133,-0.020388,0.4544047,0.6509629,-0.0688007,0.2963792,-0.3338892,2,2
HDM 2057,MC,4600-4450 BC,KGK VI?,Tell Ruse,HDM 2057,"43Â°50'8.06""N","25Â°57'56.36""E",settlement,NE,borer,unk,metal implement,copper,2430,197,3,17,650,9.2,140,2.6389066,1.1285376,-0.1101447,0.3464843,-0.1982674,0.2463986,0.6096807,9,2
HDM 2058,MC,4600-4450 BC,KGK VI?,Tell Ruse,HDM 2058,"43Â°50'8.06""N","25Â°57'56.36""E",settlement,NE,borer,unk,metal implement,copper,1.3,3.1,2,64,11,0.29,0.7,-1.9503592,-0.2496032,-0.6409991,-0.4501848,0.4774796,-0.2435727,-0.0466785,2,2
HDM 2059,MC,4600-4450 BC,KGK VI?,Tell Ruse,HDM 2059,"43Â°50'8.06""N","25Â°57'56.36""E",settlement,NE,borer,unk,metal implement,copper,4.1,0.78,1.5,41,64,1.15,152,-0.3964962,-1.1112046,0.20969,0.8126197,-0.2892344,0.7374559,-0.2435411,4,2
HDM 2060,MC,4600-4450 BC,KGK VI?,Tell Ruse,HDM 2060,"43Â°50'8.06""N","25Â°57'56.36""E",settlement,NE,borer,unk,metal implement,copper,2,1.53,2,17,852,5.3,15,0.0187365,-1.6417153,-0.1180391,-0.0582225,-0.3798769,-0.275458,0.5970441,4,2
HDM 2061,MC,4600-4450 BC,KGK VI?,Tell Ruse,HDM 2061,"43Â°50'8.06""N","25Â°57'56.36""E",settlement,NE,borer,unk,metal implement,copper,3,0.63,7.3,204,42,0.67,38,-1.0170273,-0.7577114,0.740638,0.4339924,-0.2000961,0.1080848,-0.5542554,2,2
HDM 2063,MC,4600-4450 BC,KGK VI?,Tell Ruse,HDM 2063,"43Â°50'8.06""N","25Â°57'56.36""E",settlement,NE,borer,unk,metal implement,copper,4.5,0.58,16.4,210,22,0.04,94,-1.5514082,-0.1846417,1.0292047,1.4932828,0.0596971,0.0799803,-0.5683152,2,2
HDM 2065,MC,4600-4450 BC,KGK VI?,Tell Ruse,HDM 2065,"43Â°50'8.06""N","25Â°57'56.36""E",settlement,NE,borer,unk,metal implement,copper,138,19.6,18.7,109,39,1.4,92,0.5760442,0.8486584,0.8620011,0.3927348,0.1813752,0.3396891,-0.1649241,9,2
HDM 2067,MC,4600-4450 BC,KGK VI?,Tell Ruse,HDM 2067,"43Â°50'8.06""N","25Â°57'56.36""E",settlement,NE,borer,unk,metal implement,copper,1.4,2.92,1.5,57,2210,8.5,129,0.7916167,-2.0806417,0.1744692,0.3581466,-0.167011,-0.2972835,-0.0246307,4,2
HDM 2068,MC,4600-4450 BC,KGK VI?,Tell Ruse,HDM 2068,"43Â°50'8.06""N","25Â°57'56.36""E",settlement,NE,borer,unk,metal implement,copper,7.1,1.58,2,8,340,12.8,370,0.8247467,-1.5473769,0.356706,0.480623,-0.4382248,0.936291,0.5083863,4,2
HDM 2070,MC,4600-4450 BC,KGK VI?,Tell Ruse,HDM 2070,"43Â°50'8.06""N","25Â°57'56.36""E",settlement,NE,borer,unk,metal implement,copper,1.7,122,1.5,34,600,10.2,134,1.3690259,-1.3536289,-0.1833978,0.0490151,1.1939413,-0.0400754,0.0663309,4,2
HDM 2071,MC,4600-4450 BC,KGK VI?,Tell Ruse,HDM 2071,"43Â°50'8.06""N","25Â°57'56.36""E",settlement,NE,borer,unk,metal implement,copper,4.7,249,3.5,11,560,8.7,98,1.5393318,-0.8302048,-0.1002227,0.029814,1.2955133,-0.0003987,0.6734751,4,2
HDM 2139,LC,4450-4100 BC,Varna IIb,Onogur,HDM 2139,"43Â°49'15.93""N","27Â°35'9.09""E",settlement/stray,BSC,flat axe,Salcuta,metal implement,copper,2710,31,1.5,111,550,13,101,2.2889693,0.9445098,-0.0568631,0.165889,-0.957496,0.1568527,-0.2110238,9,2
HDM 1915,LC,4450-4100 BC,KGK VI?,Sadovec,HDM 1915,"43Â°18'53.28""N","24Â°21'9.56""E",settlement,NC,hammer axe,Vidra,metal implement,copper,2,2.69,0.5,157,1200,89,58,1.1012522,-2.1579237,-0.1145108,-0.6436264,-0.5138891,-0.0333685,-0.5713014,4,2
HDM 1924,LC,4450-4100 BC,KGK VI III,Sava,HDM 1924,"43Â° 1'50.97""N","27Â°22'47.05""E",settlement,NE,Heavy axe,Coteana,metal implement,copper,3.1,27.4,1,10,560,13.3,55,1.0587442,-1.3767029,-0.4383549,-0.1112665,0.5021537,0.1985863,0.5592484,4,2
HDM 1925,LC,4450-4100 BC,Varna IIIb,Varna,HDM 1925,"43Â°12'16.79""N","27Â°54'37.95""E",cemetery,BSC,hammer axe,Vidra,metal implement,copper,2,1.26,0.5,14,1480,42,72,0.872596,-2.3167577,-0.2833524,-0.1803827,-0.6728377,0.3065655,0.3628079,4,2
HDM 1926,LC,4450-4100 BC,Varna III,Varna,HDM 1926,"43Â°12'16.79""N","27Â°54'37.95""E",cemetery,BSC,hammer axe,Vidra,metal implement,copper,1,1.34,0.5,66,292,11.1,33,0.0245239,-1.9613831,-0.3158157,-0.2120515,-0.2905307,0.1793777,-0.3304194,4,2
HDM 1927,LC,4450-4100 BC,Varna III,Varna,HDM 1927,"43Â°12'16.79""N","27Â°54'37.95""E",cemetery,BSC,axe,Salcuta,metal implement,copper,1,0.5,0.5,41,240,4.1,141,-0.1547773,-2.1011595,-0.103456,0.5323779,-0.4459017,0.5566588,-0.3031587,4,2
HDM 1928,LC,4450-4100 BC,Varna III,Devnja,HDM 1928,"43Â°13'2.13""N","27Â°33'47.54""E",cemetery,BSC,hammer axe,Coka-Varna,metal implement,copper,57,760,1,14,490,4.1,276,2.245645,0.0530928,-0.5686735,0.6198253,1.1449035,0.2543014,0.3660195,9,2
HDM 1929,LC,4450-4100 BC,Varna III,Devnja,HDM 1929,"43Â°13'2.13""N","27Â°33'47.54""E",cemetery,BSC,hammer axe,Varna,metal implement,copper,1,0.68,0.5,8,252,10.5,92,0.0340738,-2.2131602,-0.2911412,0.184759,-0.4004298,0.8212886,0.3652398,4,2
HDM 1930,LC,4450-4100 BC,Varna III,Devnja,HDM 1930,"43Â°13'2.13""N","27Â°33'47.54""E",cemetery,BSC,hammer axe,Devnja,metal implement,copper,1,1.64,2,56,114,29.8,9.3,-0.2157832,-1.6673853,0.0560059,-1.01872,-0.1515167,0.2145032,-0.0567455,4,2
HDM 1931,LC,4450-4100 BC,Varna III,Varna,HDM 1931,"43Â°12'16.79""N","27Â°54'37.95""E",cemetery,BSC,hammer axe,Devnja,metal implement,copper,1,11,0.5,36,570,7.1,74,0.6452695,-1.8323971,-0.4794251,0.1424998,0.4285684,0.0430466,-0.0851822,4,2
HDM 1932,LC,4450-4100 BC,Varna III,Varna,HDM 1932,"43Â°12'16.79""N","27Â°54'37.95""E",cemetery,BSC,chisel,unk,metal implement,copper,16.7,8.1,0.5,4,1230,5.3,4.2,0.6125403,-0.8298095,-1.1559732,-0.2154976,-0.457105,-0.309072,1.1808804,4,2
HDM 1933,LC,4450-4100 BC,Varna III,Devnja,HDM 1933,"43Â°13'2.13""N","27Â°33'47.54""E",cemetery,NE,heavy axe,Gumelnica,metal implement,copper,2,128,0.5,21,271,4.6,133,1.129969,-1.1798372,-0.6887679,0.3046963,1.2570458,0.2794011,0.0282808,4,2
HDM 1934,LC,4450-4100 BC,Varna III,Devnja,HDM 1934,"43Â°13'2.13""N","27Â°33'47.54""E",cemetery,NE,hammer axe,Coka-Varna,metal implement,copper,510,760,2,14,490,3.9,300,2.5810946,0.8329437,-0.3204039,0.7051326,0.7122894,0.2916458,0.507326,9,2
HDM 1935,LC,4450-4100 BC,Varna III,Devnja,HDM 1935,"43Â°13'2.13""N","27Â°33'47.54""E",cemetery,BSC,chisel,unk,metal implement,copper,2.3,1.66,2.5,72,500,5.6,52,0.1820622,-1.555084,0.2932665,0.1195153,-0.2840439,-0.1145974,-0.0979126,4,2
HDM 1936,LC,4450-4100 BC,Varna III,Devnja,HDM 1936,"43Â°13'2.13""N","27Â°33'47.54""E",cemetery,NE,hammer axe,Coka-Varna,metal implement,copper,380,275,2.5,17,360,4.8,81,2.0540245,0.782258,-0.3048019,0.2821671,0.4021402,0.1490656,0.5405846,9,2
HDM 1937,LC,4450-4100 BC,KGK VI III,Hotnica,HDM 1937,"43Â° 9'36.30""N","25Â°31'49.96""E",settlement,NE,hammer axe,Vidra,metal implement,copper,1,4.3,2.5,113,450,0.87,47,-0.1872713,-1.4120663,0.1277133,0.5900006,0.3546147,-0.5093526,-0.2671904,4,2
HDM 1938,LC,4450-4100 BC,KGK VI III,Hotnica,HDM 1938,"43Â° 9'36.30""N","25Â°31'49.96""E",settlement,NC,hammer axe,Vidra,metal implement,copper,24.9,7.5,11.4,179,640,1.11,72,0.5881358,-0.2580216,0.7337103,0.6568853,-0.1169222,-0.6182118,-0.158512,4,2
HDM 1939,LC,4450-4100 BC,KGK VI III,Hotnica,HDM 1939,"43Â° 9'36.30""N","25Â°31'49.96""E",settlement,NC,heavy axe,Coteana,metal implement,copper,1.3,0.59,1,7,35,0.072,0.7,-2.3138566,-0.6285088,-1.0576647,0.319636,-0.1075046,-0.2208181,0.8294267,2,2
HDM 1946,LC,4450-4100 BC,Varna III,Durankulak,HDM 1946,"43Â°41'13.71""N","28Â°31'51.97""E",cemetery,BSC,bracelet,unk,metal ornament,copper,1.4,0.73,2.5,46,193,9.8,26.4,-0.2680852,-1.6997283,0.2777697,-0.2914514,-0.4064887,0.2127489,0.0180619,4,2
HDM 1956,LC,4450-4100 BC,Varna III,Durankulak,HDM 1956,"43Â°41'13.71""N","28Â°31'51.97""E",settlement,BSC,bracelet,unk,metal ornament,copper,560,142,0.5,57,440,0.38,55,1.4999027,1.0650016,-0.9652657,1.0831661,0.0992305,-0.2993987,-0.0650341,9,2
HDM 1959,LC,4450-4100 BC,Varna III,Durankulak,HDM 1959,"43Â°41'13.71""N","28Â°31'51.97""E",settlement,BSC,pin,unk,metal ornament,copper,37,82,4.5,31,400,12.8,114,1.6824448,-0.2495738,0.2223652,-0.0231709,0.4731215,0.1455743,0.2969788,9,2
HDM 1960,LC,4450-4100 BC,Varna III,Durankulak,HDM 1960,"43Â°41'13.71""N","28Â°31'51.97""E",settlement,BSC,bracelet,unk,metal ornament,copper,8700,217,5,78,430,0.57,24.4,1.8636858,2.2749869,-0.2326578,0.6969829,-0.284622,-0.5846809,0.276228,9,2
HDM 1961,LC,4450-4100 BC,Varna II/III,Durankulak,HDM 1961,"43Â°41'13.71""N","28Â°31'51.97""E",cemetery,BSC,hammer axe,Coka-Varna,metal implement,copper,2,100,1,12,430,7.8,222,1.3445196,-1.369125,-0.3503864,0.3161357,1.1684294,0.3583041,0.3330911,4,2
HDM 1962,LC,4450-4100 BC,Varna III,Durankulak,HDM 1962,"43Â°41'13.71""N","28Â°31'51.97""E",cemetery,BSC,finger ring,unk,metal ornament,copper,78,1.56,8.8,34,1520,31,19.3,1.0894679,-0.6231178,0.603864,-0.4743072,-1.2851132,-0.2783895,0.6426197,4,2
HDM 1963,LC,4450-4100 BC,Varna III,Durankulak,HDM 1963,"43Â°41'13.71""N","28Â°31'51.97""E",cemetery,BSC,bracelet,unk,metal ornament,copper,3200,1010,1.5,23,810,10.8,89,3.0439912,1.380921,-0.5622924,0.1560938,0.177765,0.0191377,0.478523,9,2
HDM 1964,LC,4450-4100 BC,Varna III,Durankulak,HDM 1964,"43Â°41'13.71""N","28Â°31'51.97""E",cemetery,BSC,bracelet,unk,metal ornament,copper,8400,1490,2.5,23,720,11.8,57,3.1719543,1.8487138,-0.4765695,-0.0056771,0.1139274,-0.0589087,0.605235,9,2
HDM 1965,LC,4450-4100 BC,Varna III,Durankulak,HDM 1965,"43Â°41'13.71""N","28Â°31'51.97""E",cemetery,BSC,bracelet,unk,metal ornament,copper,310,4.2,40,80,156,18.5,30,0.967316,0.5185434,1.2204839,-0.519848,-0.8581113,0.1390995,0.2934479,6,2
HDM 1971,LC,4450-4100 BC,Varna III,Durankulak,HDM 1971,"43Â°41'13.71""N","28Â°31'51.97""E",cemetery,BSC,flat axe,Salcuta,metal implement,copper,1.9,1.53,4.5,36,460,4.3,46,0.0126311,-1.5448108,0.4280417,0.1650571,-0.1902671,-0.0878735,0.2523303,4,2
HDM 1973,LC,4450-4100 BC,Varna III,Durankulak,HDM 1973,"43Â°41'13.71""N","28Â°31'51.97""E",cemetery,BSC,bracelet,unk,metal ornament,copper,33,1.71,31,83,165,8.4,38,0.3162725,-0.2904417,1.222078,-0.2309171,-0.6174074,0.0599697,0.1753369,4,2
HDM 1978,LC,4450-4100 BC,Varna III,Durankulak,HDM 1978,"43Â°41'13.71""N","28Â°31'51.97""E",cemetery,BSC,bracelet,unk,metal ornament,copper,10100,1820,1,20,800,11.6,68,3.3355896,1.8166853,-0.8328984,0.1041299,0.0785711,0.0427056,0.530321,9,2
HDM 1983,LC,4450-4100 BC,Varna III,Durankulak,HDM 1983,"43Â°41'13.71""N","28Â°31'51.97""E",settlement,BSC,bracelet,unk,metal ornament,copper,2,0.27,0.5,48,240,13.1,13.8,-0.3540578,-1.8644189,-0.3259097,-0.4005949,-1.0095655,0.2724385,-0.1418744,4,2
HDM 1988,LC,4450-4100 BC,Varna III,Durankulak,HDM 1988,"43Â°41'13.71""N","28Â°31'51.97""E",cemetery,BSC,bracelet,unk,metal ornament,copper,4,1.5,19.4,128,330,60,36,0.4992535,-1.3868043,1.2219122,-0.8805249,-0.4581646,-0.0201722,-0.0504058,4,2
HDM 1990,LC,4450-4100 BC,Varna III,Durankulak,HDM 1990,"43Â°41'13.71""N","28Â°31'51.97""E",cemetery,BSC,bracelet,unk,metal ornament,copper,1930,310,0.5,61,720,13,185,2.9194842,0.9173757,-0.6484654,0.3157967,-0.1692657,0.2249714,-0.1558367,9,2
HDM 1997,LC,4450-4100 BC,Varna III,Durankulak,HDM 1997,"43Â°41'13.71""N","28Â°31'51.97""E",cemetery,BSC,bracelet,unk,metal ornament,copper,9.4,5.7,14.6,242,234,37,36,0.756936,-0.8070508,1.0155156,-0.8011768,-0.1586555,-0.1143978,-0.3367011,4,2
HDM 1999,LC,4450-4100 BC,Varna III,Durankulak,HDM 1999,"43Â°41'13.71""N","28Â°31'51.97""E",cemetery,BSC,flat axe,unk,metal implement,copper,2.5,63,0.5,22,350,9.1,67,1.088404,-1.2600728,-0.6888935,-0.0311928,0.8554406,0.1982419,0.0955182,4,2
HDM 2007,LC,4450-4100 BC,Varna III,Durankulak,HDM 2007,"43Â°41'13.71""N","28Â°31'51.97""E",cemetery,BSC,spiral ring,unk,metal ornament,copper,720,650,1,12,500,11.1,56,2.5492518,0.8890147,-0.7810998,-0.0064063,0.3782242,0.1866624,0.628174,9,2
HDM 2008,LC,4450-4100 BC,Varna III,Durankulak,HDM 2008,"43Â°41'13.71""N","28Â°31'51.97""E",cemetery,BSC,Finger ring,unk,metal ornament,copper,41,31,6.1,53,330,7.4,105,1.3192633,-0.1878828,0.4324258,0.1206248,0.189189,0.0733347,0.1217615,9,2
HDM 2010,LC,4450-4100 BC,Varna III,Durankulak,HDM 2010,"43Â°41'13.71""N","28Â°31'51.97""E",cemetery,BSC,borer,unk,metal implement,copper,31,3.5,6.6,50,157,2.95,26.9,0.2325403,-0.1927588,0.4065971,0.0752006,-0.3917283,0.0455825,0.1950366,4,2
HDM 2020,LC,4450-4100 BC,Varna III,Durankulak,HDM 2020,"43Â°41'13.71""N","28Â°31'51.97""E",cemetery,BSC,bracelet,unk,metal ornament,copper,2,2.01,2,124,920,25.8,38,0.58975,-1.836985,0.2791158,-0.4227992,-0.4118392,-0.2597508,-0.2627137,4,2
HDM 2021,LC,4450-4100 BC,Varna III,Durankulak,HDM 2021,"43Â°41'13.71""N","28Â°31'51.97""E",cemetery,BSC,flat axe,unk,metal implement,copper,1,19,3.5,39,217,2.27,64,0.2101505,-1.2652338,0.1374113,0.2575295,0.9294184,-0.0653104,0.0867637,4,2
HDM 2022,LC,4450-4100 BC,Varna III,Durankulak,HDM 2022,"43Â°41'13.71""N","28Â°31'51.97""E",cemetery,BSC,hammer axe,Varna,metal implement,copper,1,52,35,30,266,15.4,98,0.8266409,-1.2608685,1.0735033,-0.371136,1.2901914,-0.0346681,0.4804013,4,2
HDM 2030,LC,4450-4100 BC,Varna III,Durankulak,HDM 2030,"43Â°41'13.71""N","28Â°31'51.97""E",cemetery,BSC,Finger ring,unk,metal ornament,copper,146,370,1.8,18,620,10.9,249,2.4581806,0.1730516,-0.2258534,0.3274483,0.6247469,0.2778064,0.3931204,9,2
HDM 2072,LC,4450-4100 BC,KGK VI?,Tell Ruse,HDM 2072,"43Â°50'8.06""N","25Â°57'56.36""E",settlement,NE,borer,unk,metal implement,copper,167,2.71,5.3,65,320,2.76,284,1.0330221,-0.0277515,0.7004048,0.8500802,-0.8342099,0.3663642,-0.0498924,8,2
HDM 2073,LC,4450-4100 BC,KGK VI?,Tell Ruse,HDM 2073,"43Â°50'8.06""N","25Â°57'56.36""E",settlement,NE,double spiral headed pin,unk,metal ornament,copper,2,10.9,2,125,540,4.6,47,0.5096207,-1.3203316,0.0584266,0.0616394,0.3536943,-0.3892623,-0.311857,4,2
HDM 2074,LC,4450-4100 BC,KGK VI?,Tell Ruse,HDM 2074,"43Â°50'8.06""N","25Â°57'56.36""E",settlement,NE,borer,unk,metal implement,copper,1.7,1.35,2.5,12,840,11.7,25.5,0.2153867,-1.8615456,0.0783657,-0.1721082,-0.3929859,-0.0250428,0.6980768,4,2
HDM 2075,LC,4450-4100 BC,KGK VI?,Tell Ruse,HDM 2075,"43Â°50'8.06""N","25Â°57'56.36""E",settlement,NE,loop-headed pin,unk,metal ornament,copper,44,13.9,8.3,143,57,0.126,202,0.0761418,0.5386184,0.5907503,1.409625,0.4297333,0.0920016,-0.4252949,2,2
HDM 2076,LC,4450-4100 BC,KGK VI?,Tell Ruse,HDM 2076,"43Â°50'8.06""N","25Â°57'56.36""E",settlement,NE,borer,unk,metal implement,copper,106,710,3,13,600,8,148,2.348131,0.286555,-0.2173849,0.2389707,0.9587539,0.0930807,0.6367689,9,2
HDM 2077,LC,4450-4100 BC,KGK VI?,Tell Ruse,HDM 2077,"43Â°50'8.06""N","25Â°57'56.36""E",settlement,NE,borer,unk,metal implement,copper,6.5,6.5,2,26,221,13,32,0.563949,-1.0208146,-0.0335067,-0.3219828,-0.041012,0.2726992,0.2513372,4,2
HDM 2078,LC,4450-4100 BC,KGK VI?,Tell Ruse,HDM 2078,"43Â°50'8.06""N","25Â°57'56.36""E",settlement,NE,borer,unk,metal implement,copper,3.5,12.3,4,64,2000,10.3,92,1.1491501,-1.4679798,0.3753595,0.1170567,0.1585477,-0.4817056,0.120586,7,2
HDM 2079,LC,4450-4100 BC,KGK VI?,Tell Ruse,HDM 2079,"43Â°50'8.06""N","25Â°57'56.36""E",settlement,NE,borer,unk,metal implement,copper,1.1,7.9,2,38,510,7.9,130,0.6334981,-1.7741638,0.1756694,0.1930028,0.4219753,0.0972671,0.0223552,4,2
