LABEL analytical,relative period,absolute period,cultural attribution,Site,Sample label,Geo Latitude,Geo Longitude,Type of site/context,Region,Artefact type,Axe type,Category,Base,As (ppm),Sb (ppm),Co (ppm),Ni (ppm),Ag (ppm),Au (ppm),Se (ppm),As (ppm),Sb (ppm),Co (ppm),Ni (ppm),Ag (ppm),Au (ppm),Se (ppm),Chemical cluster,
MA-110616,EC,5000-4600 BC,Vinca culture,Vinca,Vinca 91,"44Â°49'57.91""N","20Â°33'0.76""E",settlement,SRB,copper slag,unk,production,copper,16.3,3.7,860,320,2.6,0.04,4.3,-2.1404295,1.5124706,1.9414849,0.2409866,0.7495296,-0.4102688,-0.0566626,2,1
MA-110624,EC,5000-4600 BC,Vinca culture,Vinca,Vinca 85,"44Â°49'57.91""N","20Â°33'0.76""E",settlement,SRB,malachite bead,unk,mineral ornament,copper,22.5,1.59,4.8,280,1,0.046,4,-2.1975041,1.1794491,0.0481686,0.3867061,0.1348626,0.4394534,-0.8258595,2,1
MA-110621,EC,5000-4600 BC,Vinca culture,Vinca,Vinca 99,"44Â°49'57.91""N","20Â°33'0.76""E",settlement,SRB,copper mineral,unk,copper mineral,copper,14.9,1.03,740,166,2,0.017,0.5,-3.0369162,1.6428489,1.5633543,0.0223764,0.3305591,-0.6697808,0.3501322,2,1
HDM 1403,EC,5000-4600 BC,Vinca culture,Medvednjak,HDM 1403,"44Â°22'4.00""N","20Â°28'6.00""E",settlement,SRB,malachite bead,unk,mineral ornament,copper,70,0.8,6.8,60,551,0.36,429,0.3914022,-0.3227018,0.8399492,1.680241,-0.9250049,0.073626,0.0232936,8,0
HDM 1404,EC,5000-4600 BC,Vinca culture,Medvednjak,HDM 1404,"44Â°22'4.00""N","20Â°28'6.00""E",settlement,SRB,malachite bead,unk,mineral ornament,copper,6,2,270,103,2,0.32,2.6,-2.0923187,0.7737523,1.5199661,-0.4879053,0.5643038,0.1183654,0.1899864,2,0
HDM 1481,EC,5000-4600 BC,Vinca culture,Selevac,HDM 1481,"44Â°29'43.00""N","20Â°52'25.00""E",settlement,SRB,malachite,unk,copper mineral,copper,16.5,1.7,173,16,0.9,0.02,0.4,-3.0187999,1.6481765,0.7368551,-0.0071335,0.4972559,0.0318186,0.9906172,2,1
HDM 1482,EC,5000-4600 BC,Vinca culture,Selevac,HDM 1482,"44Â°29'43.00""N","20Â°52'25.00""E",settlement,SRB,malachite,unk,copper mineral,copper,24,2.7,6.1,208,1.3,0.27,0.3,-2.1479847,1.2731733,-0.2317185,-0.8498169,0.0365983,0.0472786,-0.4155225,2,1
HDM 1483,EC,5000-4600 BC,Vinca culture,Selevac,HDM 1483,"44Â°29'43.00""N","20Â°52'25.00""E",settlement,SRB,copper prill,unk,production,copper,2,0.5,56,36,3.1,0.67,0.8,-2.4610524,-0.0031668,0.8242824,-0.8456329,0.0970566,0.2055165,0.4884652,2,1
HDM 1484,EC,5000-4600 BC,Vinca culture,Selevac,HDM 1484,"44Â°29'43.00""N","20Â°52'25.00""E",settlement,SRB,malachite,unk,copper mineral,copper,15,1,13,53,0.6,0.19,0.6,-2.5636269,1.0940372,0.1227902,-0.5787811,0.0364161,0.5837567,0.0568986,2,1
HDM 1485,EC,5000-4600 BC,Vinca culture,Selevac,HDM 1485,"44Â°29'43.00""N","20Â°52'25.00""E",settlement,SRB,malachite,unk,copper mineral,copper,43,3.2,54,115,0.8,0.132,0.4,-2.3099664,1.7984888,0.5259357,-0.6546239,0.2480165,0.0758434,0.0636034,2,1
HDM 1486,EC,5000-4600 BC,Vinca culture,Selevac,HDM 1486,"44Â°29'43.00""N","20Â°52'25.00""E",settlement,SRB,malachite,unk,copper mineral,copper,14,0.6,790,40,1,0.02,0.6,-3.2324876,1.5676262,1.5560266,0.0335238,0.2744561,-0.1404903,0.811748,2,1
HDM 1487,EC,5000-4600 BC,Vinca culture,Selevac,HDM 1487,"44Â°29'43.00""N","20Â°52'25.00""E",settlement,SRB,malachite,unk,copper mineral,copper,77,1.1,0.8,8,4.5,0.02,43,-1.4193048,0.856361,-0.6470194,1.7295683,-0.2985098,1.1938756,0.255149,2,1
HDM 1488,EC,5000-4600 BC,Vinca culture,Selevac,HDM 1488,"44Â°29'43.00""N","20Â°52'25.00""E",settlement,SRB,malachite,unk,copper mineral,copper,6.2,0.3,6.1,29,0.2,0.011,0.3,-3.8604405,1.16615,-0.3639628,0.1365771,0.0877785,0.6321607,0.1340179,2,1
