,Annam/Jiaozhi (Hanoi),Anning,Ava (Xilicheng),Bago (Michenguo?),Bakahe (Liruncheng?) ROUGH,Bonan (Bonanzhen),Chengdu,Chengguanzhen (Huiwu),Dali/Yeyu,Dayinkong (Chiang Mai/Lanna),Dazhai (Tongdengchuan?),Deqen,Doushazhen (Shimen),Fengyicheng (Xishuanbanna/Sipsongpanna),Hengshanzhai,Huanzhou (Vinh),Jiangcheng (Hepuchuan?) ROUGH,Jinpingzhen (Yinshengcheng?),Kamarupa,Krung Thep (Bangkok),Kunlunguo/Pegu (Mawlamyine),Kunming/Yizhou,Lao Cai (Guyongbu),Leshan,Lhasa,Lijiang,Lincang (Songjianchuan?),Luodianguo,Luzhenla (Vientiane),Mangshi (Zhugeliangcheng?),Moguang (Jinhaosheng?),Muong Lay (Jianglangchuan?) ROUGH,Nanchangguan/Fengu (Mengzi),Nongdong,Prome,Puer (Jinning),Putao (Dadan?),Qinglongchang (Butuo?),Qiongdu,Qujing (Weixan),Sinanjiangxiang (Kaiyuancheng?),Tagaung,Temadao,Tengcheng (Tengyue/Dianyue),Tonghai,Wendianshan (Weiyuancheng?),Xinjiangcun (Michen?),Yandaozhen (Yandao),Yibin (Bodao),Yongchang (Baoshan),Yunnanyi,Yuxi (Mangnaidao?),Zhaotong (Zhuti),Zhongdian,Zhutangxiang (Qiongechuan?) ROUGH,Ziqi
Luzhenla (Vientiane),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mangshi (Zhugeliangcheng?),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Moguang (Jinhaosheng?),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Muong Lay (Jianglangchuan?) ROUGH,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nanchangguan/Fengu (Mengzi),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Nongdong,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Prome,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Puer (Jinning),0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Putao (Dadan?),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Qinglongchang (Butuo?),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
